0.00 	1418.65	1418.7	1413.95	1416.1	1341
0.17 	1416.15	1420.4	1414.7	1419.25	1399
0.33 	1419.3	1421	1417.1	1419.7	2232
0.50 	1419.75	1423.8	1417.05	1421.2	5111
0.67 	1421.4	1422.7	1415.45	1420.05	5259
0.83 	1420	1420	1412.8	1413.85	2371
0.00 	1415.2	1417.1	1413.4	1414.7	1926
0.17 	1414.55	1417.1	1413.4	1414.5	1759
0.33 	1414.6	1415.7	1404.2	1407.25	4042
0.50 	1407.35	1408.95	1385.35	1387.6	7377
0.67 	1387.55	1389	1374.65	1377.2	8832
0.83 	1377.25	1381.55	1376.5	1381.15	2288
0.00 	1381.6	1384.7	1377.2	1380.25	2731
0.17 	1380.35	1384.1	1380.15	1382.85	2488
0.33 	1382.9	1384.45	1377.75	1378.85	4079
0.50 	1378.9	1381.8	1363.85	1366.6	8171
0.67 	1366.35	1379.5	1365.5	1374.25	7288
0.83 	1374.25	1378.5	1371.15	1378.45	2031
0.00 	1377.35	1377.75	1373.9	1374.95	1874
0.17 	1375.2	1377.2	1374.15	1376.2	1734
0.33 	1376.1	1379.75	1372.55	1372.75	3900
0.50 	1372.35	1375.75	1367.15	1368.8	7537
0.67 	1368.95	1376.5	1364.55	1372.45	8524
0.83 	1372.35	1373.1	1370.55	1370.9	1961
0.00 	1371.3	1372.95	1367.1	1370.15	2336
0.17 	1370.15	1371.35	1365.75	1367.35	2089
0.33 	1367.2	1367.3	1356.7	1359.9	4446
0.50 	1359.05	1369.95	1352.7	1365.85	9566
0.67 	1365.9	1378.75	1365.2	1369.8	8981
0.83 	1369.75	1370.85	1367.8	1369	1452
0.00 	1370.1	1375.75	1367.4	1374.1	2258
0.17 	1374.05	1375.9	1372.75	1374.5	1979
0.33 	1374.7	1375.8	1366.6	1368.2	3717
0.50 	1368.15	1374.3	1365.5	1366.95	6117
0.67 	1366.85	1374.5	1365.4	1373.8	6580
0.83 	1373.9	1375.65	1372.7	1375.4	1390
0.00 	1374.4	1377.45	1373.05	1375.1	2677
0.17 	1374.95	1376.75	1374.9	1376.35	1949
0.33 	1376.3	1382	1376.05	1380.6	3802
0.50 	1381.1	1386.65	1373.5	1374.6	6942
0.67 	1374.5	1384.7	1372.65	1382.3	6643
0.83 	1382.25	1383.95	1380.4	1381.05	1362
0.00 	1381.3	1385.8	1380.85	1384.95	1957
0.17 	1385	1385.95	1382.8	1385.55	1839
0.33 	1385.5	1386.85	1381.15	1382.3	3994
0.50 	1382.4	1383.9	1377.85	1380.25	6779
0.67 	1380.3	1386.6	1376.55	1386.05	6304
0.83 	1386.1	1388.75	1383.85	1387.9	1936
0.00 	1386	1387.25	1384.65	1386.55	2123
0.17 	1386.5	1387.2	1384.7	1385.9	1288
0.33 	1386	1386.1	1378.85	1379.05	3771
0.50 	1378.95	1393	1377.7	1380.95	7339
0.67 	1381.05	1387.65	1378.8	1383.85	6366
0.83 	1383.8	1383.8	1369.45	1373.3	3347
0.00 	1372.75	1376.8	1372.65	1376.2	1734
0.17 	1376.15	1377.9	1374.35	1375.05	1583
0.33 	1375.15	1376.25	1365.35	1369.65	4580
0.50 	1369.55	1370.05	1360.85	1365.5	8111
0.67 	1365.55	1368.6	1354.9	1360.3	9109
0.83 	1360.2	1361.9	1357.95	1361.75	1788
0.00 	1361.45	1365.6	1361.4	1365.2	2007
0.17 	1365.15	1365.6	1360.8	1361.45	1566
0.33 	1361.25	1363.1	1357.1	1358.7	3385
0.50 	1358.1	1362.15	1358.1	1362.1	3949
0.67 	1362	1362.25	1358.7	1360.95	1784
0.83 	1361	1361	1361	1361	1
0.00 	1361	1363.55	1360.2	1361.95	1693
0.17 	1362	1366.3	1362	1365.85	1823
0.33 	1365.75	1371.55	1365.45	1368.3	3971
0.50 	1368.25	1376.15	1366.65	1367.65	6267
0.67 	1367.75	1373.05	1364.85	1367.3	6524
0.83 	1367.35	1368.15	1364.45	1367.55	1796
0.00 	1366.75	1373.9	1365.6	1372.7	2483
0.17 	1372.8	1374.8	1372.3	1374.55	1377
0.33 	1374.5	1376.6	1370.35	1372.95	3723
0.50 	1373.1	1379.05	1370.85	1372.55	6746
0.67 	1372.5	1373.6	1368.2	1371.1	6499
0.83 	1371	1371.65	1366.9	1369.55	1904
0.00 	1367.75	1370	1367.05	1368.6	2609
0.17 	1368.55	1371.1	1367.15	1367.3	2112
0.33 	1367.2	1367.45	1362	1364.4	3312
0.50 	1364.45	1364.65	1344.3	1346.25	5127
0.67 	1346.3	1353.35	1343.15	1347.9	4513
0.83 	1347.85	1352.6	1343.8	1346	2120
0.00 	1347.15	1348.85	1345.35	1348.5	2949
0.17 	1348.45	1348.95	1344.85	1346.6	2128
0.33 	1346.9	1350.1	1340.8	1344.1	4755
0.50 	1344.15	1346.15	1337.65	1342.1	7014
0.67 	1342.2	1346.45	1339.05	1343	6192
0.83 	1343.05	1343.6	1340.9	1342.45	1638
0.33 	1349.2	1350.4	1345.95	1347.9	1073
0.50 	1347.8	1350.25	1341.8	1342.7	5785
0.67 	1342.75	1348.75	1341.25	1343.45	5462
0.83 	1343.4	1343.95	1332.4	1333.8	2930
0.00 	1335.15	1338.4	1330.05	1332.5	2295
